Lot,HWODescription,HWOApprovedAmount,SalesTax,AdminFee,ChargeAmount,Specialties,ISO,Country,Locality,Postcode,Street,Latitude,Longitude,Region
58,doh clean and dust-wipe only: rm4- bedroom from kitchen and adjacent sample as per hpd's lead abatement requirement contracts and attached sco,130.76,11.6,52.3,194.66,"Window cleaning , Fridge cleaning, Oven cleaning, Laundry",EG,Egypt,Abu Qir,21913,Al Mouhandes Hussein Ramadan Street,31.215042,29.925053,Alexandria Governorate
1,apt d1: re-set tempature to provide adequate supply of hot water to the apartment.,48.42,4.06,7.26,59.74,"Window cleaning , Fridge cleaning, Oven cleaning",EG,Egypt,Abu Qir,21913,Street 50,31.215003,29.940159,Alexandria Governorate
73,"at apt. 3f, in the kitchen properly replace with new similar the leaky kitchen sink faucet. leave in proper working order. tenant contact for appoin",3.87,0.34,1.94,6.15, ,EG,Egypt,Abu Qir,21913,Al Geish Road,31.21012,29.910343,Alexandria Governorate
65,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,0,0,0,0,"Two-story building, Three-story building",EG,Egypt,Alexandria,21524,Gamal Abd Al Naser Street,31.214063,29.935894,Alexandria Governorate
37,reinstall window guards in liviingroom,52.29,4.51,15,71.8,"Steam cleaning, Dry cleaning",EG,Egypt,Alexandria,21524,Ibn Al Barizy Street,31.214857,29.929045,Alexandria Governorate
23,at public hall stairs: at 2nd intermediate landing install stops and one-way at window guard. at 3rd intermediate landing install stops and one-way,24.21,2.09,15,41.3,"Driveway or garage, Building siding, Deck, patio, or porch, Sidewalk, Roof",EG,Egypt,Alexandria,21554,Al Hekma Street,31.214906,29.96996,Alexandria Governorate
9001,"nyc hpd emergency operations division essential service work at public hall, 8th story stairs ''a'': install new passage lockset to make fire doo",0,0,0,0,"Office, Restaurant, Retail, School or place of worship",EG,Egypt,Alexandria,21556,Kolleyet Al Zeraah Street,31.214715,29.979897,Alexandria Governorate
1,at 3rd story public hall of the building >>>>>>>>>>>>> abte the nuisance consisting of free standing radiator by removing the radiator,40.19,3.57,20.1,63.86,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Alexandria,21561,Street 2,31.215041,29.994921,Alexandria Governorate
1,dust protection apt#2l @ apt & bathroom: install 2 layers of polly at the apartme,0,0,0,0, ,EG,Egypt,Alexandria,21561,14th May Street,31.213463,29.949547,Alexandria Governorate
55,rm # 1 apt ent (livingrm) from 2nd floor public hallway comment: all walls are intact. all baseboards are inaccessible. apron on right window on wa,268.37,22.48,40.26,331.11, ,EG,Egypt,Alexandria,21918,Street 38,31.217268,29.955452,Alexandria Governorate
13,"throughout entire apt.#d7 properly re-install (3) window guards at bedroom #2, kitchen and livingroom.",101.01,8.71,15.15,124.87,"Window cleaning , Fridge cleaning, Oven cleaning, Laundry",EG,Egypt,Alexandria,21918,"Matar Borg Al Arab, Al Mintaqa Al Senaaya Road",30.893835,29.694129,Alexandria Governorate
38,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,0,0,0,0,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Alexandria,21922,Madrasa Nasim Street,31.214207,30.034768,Alexandria Governorate
25,apt d6 living room: reinstall 1 window guard with one way screws and stops. bedroom: reinstall 1 window guard with one way screws and stops.,0,0,0,0,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Alexandria,26215,Extension Al Shahid Abd Al Moneim Riyad Street,31.21496,30.015053,Alexandria Governorate
1,"remove hook and eye at apartment # 2b entrance door , 2nd story",0,0,0,0,"Two-story building, Three-story building",EG,Egypt,Alexandria,26215,Street 8,31.214991,30.020024,Alexandria Governorate
30,apartment#3a: install (2) screws and stops at livingroom. install screws and stops at kitchen. install (2) screws and stops at bedroom. install sc,24.21,2.09,15,41.3, ,EG,Egypt,Dauwar Masri,23719,Al Salam Mosque Street,31.214966,30.02509,Alexandria Governorate
4,apt#4: remove all obsructions and repair all defects in the wasteline pipe at the kitchen sink.,207.01,18.37,31.05,256.43,"Space planning, Storage advice, Removal of unwanted items, Paper management, Moving preparation",EG,Egypt,Ezab Nubar,21947,"Aswan, Abou Sambal Road",22.669744,31.484027,Alexandria Governorate
7501,l/l-1 (clean only) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuant,73.13,6.49,10.97,90.59,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Izbat al Shaykh al Maraghi,21945,"Al Sad Al Aali, Aswan Road",24.034834,32.921226,Alexandria Governorate
53,doh clean & dust wipe only: rm # 1 premise entrance foyer from street comment: baseboard on wall # 2 is intact. rm # 2 first floor public hallw,253.17,21.2,37.98,312.35,"Office, Retail, Medical facility, School or place of worship",EG,Egypt,Izbat al Shaykh al Maraghi,21945,"Aswan, Al Sad Al Aali Road",24.034981,32.939101,Alexandria Governorate
32,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,0,0,0,0, ,EG,Egypt,Izbat al Shaykh al Maraghi,21947,"Kima, Al Shalal Road",24.054984,32.919847,Alexandria Governorate
56,remove ac unit from window of apt.#3i,15.98,1.42,2.4,19.8,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Abu Simbel,81525,"Luxor, Aswan Western Road",24.037062,32.847196,Assouan
8,at apt 3 window guards: install any and all missing window guards to proper legal specs. repair any and all window guard through out apt includin,0,0,0,0, ,EG,Egypt,Aswan,81514,Aswan Western Agricultural Road,24.668888,32.926026,Assouan
80,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,219.76,18.95,32.96,271.67,"Office, Restaurant, Retail, Medical facility, School or place of worship",EG,Egypt,Aswan,81514,"Aswan, Abou Sambal Road",23.673699,32.437647,Assouan
42,as per hpds lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,175.6,15.58,87.8,278.98,"Two stories, Three stories",EG,Egypt,Aswan,81515,25,24.034742,32.870092,Assouan
12,"nyc hpd emergency operations division - ''essential service work'' at rm. #3 on the 1st floor, replace the radiator in the bedroom labeled #3 on",0,0,0,0,"Two stories, Three stories",EG,Egypt,Aswan,81531,"Cairo, Aswan Eastern Desert Road",24.669499,32.94741,Assouan
12,apt # 70 install / repair window guards throughout entire apt remove all work related debris,0,0,0,0,Steam cleaning,EG,Egypt,Naj al Hawsh,81638,Gammal Abd Al Naser Street,31.310637,30.351131,Assouan
60,public area: remove key operated double cylinder lock from building entrance door.,36.31,3.13,15,54.44,"Steam cleaning, Dry cleaning",EG,Egypt,Sahara City,81545,"Side Cairo, Alexandria Desert Road",30.653639,30.097545,Assouan
51,(apt#1-d) install (6) window guards complete. (6) throughout the entire apartment. remove all work related debris note: contractor must con,258.31,21.63,38.75,318.69, ,EG,Egypt,Shash Village,81531,Gesr Al Bahr Street,31.214571,30.520735,Assouan
5,public area: 1-1/2 & 3-1/2. story install (4) stops.,72.63,6.26,15,93.89,"Doors, Windows, Walls , Walls , Gutters, Cabinets, Shelving, Flooring, Tiling, Appliances, Plumbing, Electrical, Lighting, Wall hangings, Furniture",EG,Egypt,�������,81638,"Housh Eissa, Al Dalangat Road",30.888831,30.281284,Assouan
130,at apt # b6 : install / repair window guard(s) throughout apt.,8.23,0.73,4.12,13.08,"Washer or dryer, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Al Busayli,22748,Street 2,31.31499,30.294989,Beheira Governorate
40,(public area) at 2nd story public hall window install stops and 1-way screws. remove all work related debris.,35.35,3.05,15,53.4,"Cabinets, shelves, or bookcases, Outdoor animal enclosure, Walls, Door, Deck, porch, or balcony, Furniture, Baseboards and/or crown molding, Stairs, Windows, Garage, carport, or shed, Soffit or fascia, Gazebo or pergola",EG,Egypt,Al Nubaria,22773,Al Bahr Street,30.890329,30.655252,Beheira Governorate
22,doh clean and dust-wipe only: 1st floor public hallway from lobby- floor stairs from 1st to 2nd floor public hallway- tread 2nd floor public hall,385.6,34.22,192.8,612.62, ,EG,Egypt,Al-Mahmudiya,22718,Al Sayed Shokr Street,30.889971,30.664948,Beheira Governorate
57,p/a: replace 1 missing baluster at 2nd floor landing.,77.19,6.66,15,98.85, ,EG,Egypt,Hawsh Isa,22728,Gammal Abd Al Naser Street,30.889968,30.660013,Beheira Governorate
38,"at apt 4c, repair window guard complete with one way screws and stops at bathroom. remove all work related debris.",19.98,1.77,9.99,31.74, ,EG,Egypt,Idku,22748,Al Masraf Al Khairy Street,31.31497,30.370008,Beheira Governorate
40,l/l-1 ( clean only ) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuan,0,0,0,0,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Itay el-Barud,22951,Madrab Al Arz Street,31.316971,30.379468,Beheira Governorate
2,as per requirement of h.p.d. window guard program and in accordance with the new york city health code section 24 rcny chapter 12. at entire apt#:,0,0,0,0,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Itay el-Barud,22951,International Coastal Road,31.311637,30.278086,Beheira Governorate
53,at apt#1-r & cellar: adjust the scalding hw temp of hw tank at cellar between the range 120-130 deg-f. and maintain an adequate supply at entire apt#,96.84,8.59,48.42,153.85,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Itay el-Barud,22951,"Side Cairo, Alexandria Desert Road",30.513375,30.239408,Beheira Governorate
26,"at 2nd. story of public hallway properly secure the loose handrail. at the time of this invitation to bid, it is not anticipated that this work wil",46.11,4.09,18.44,68.64,"Outlets, Wiring, Lights, Circuit breaker panel or fuse box, Switches, Ceiling fan",EG,Egypt,Izbat al Muhit,22748,Saad Zaghloul Street,29.374798,31.198859,Beheira Governorate
41,re-adjust the dropladder back into the guide rods,32.44,2.88,12.98,48.3, ,EG,Egypt,Izbat al Muhit,22748,"Korimat, Zaafarana Road",29.09986,31.428073,Beheira Governorate
5,local law #1 violation as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 and a,0,0,0,0,Installation,EG,Egypt,Izbat Kawm al Kalakh,22748,Cairo Asyout Desert Road,29.615005,31.410278,Beheira Governorate
24,"apt.#d3: bathroom, snake out toilet.",78.27,6.75,15,100.02,"Drywall, Brick, concrete, or stone, Wood",EG,Egypt,Wadi el Natroun,22856,Riyad Street,29.095018,31.100137,Beheira Governorate
4,public hallway: remove free standing radiator from 4th story public hallway.,49.32,4.25,15,68.57, ,EG,Egypt,Atf Ifwah,62951,Masraf Ashmant Road,29.095013,31.109978,Beni Suef Governorate
33,apt #3) throughtout apt ( north and south windows) : remove (5) defective window guard and replace with new complete with window stops.''remove all wor,32.44,2.72,4.87,40.03,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,Beni Suef,11511,Ring Road,29.094124,31.104822,Beni Suef Governorate
27,apt e1..... install (1) window guard throught-out apartment.,0,0,0,0,"Apply texture finish, Painting, Waterproofing, Soundproofing, Wallpaper",EG,Egypt,Beni Suef,12959,Ring Road,29.094707,31.09511,Beni Suef Governorate
6,"public hall. exit, install window stops at 2nd story intermaidate landing. remove all work related debris.",123.22,10.63,18.48,152.33, ,EG,Egypt,Beni Suef,62514,Gammal Abd Al Naser Street,29.094318,30.955382,Beni Suef Governorate
31,"apt.113: install window guards in entire apt.( l/r- w.g 2, b/r-2 w.g.-1, bath room- w.g. rep, kit. w.g -1,b/r-1 , w.g.-2 ) note: contractor must",48.42,4.3,7.26,59.98, ,EG,Egypt,Beni Suef,62515,Madrasa Abou Zid Al Abtda'yh Street,29.095095,30.96487,Beni Suef Governorate
66,"remove free standing radiator at public hall, 4th story remove all work related debris",64.4,5.39,9.66,79.45,"Apply texture finish, Painting, Waterproofing, Soundproofing, Wallpaper",EG,Egypt,Beni Suef,62515,Masr W Al Sudan Street,29.09495,30.940299,Beni Suef Governorate
38,apt#9: install missing window and stops at kitchen window. total=1. remove work related debris.,54.98,4.88,13.75,73.61, ,EG,Egypt,Beni Suef,62747,Masraf Gawhar Street,29.094642,30.945626,Beni Suef Governorate
64,apt #1) at kitchen : repair (1) defective connection at sink waste line. ''remove all work related debris''.,204.26,17.11,30.64,252.01, ,EG,Egypt,Ihnasya al Madinah,62631,Sherif Basha Road,29.095732,31.128979,Beni Suef Governorate
1,apt #4b) at entrance apt door : replace (1) new mortise lockset l/h. ''remove all work related debris''.,48.42,4.06,7.26,59.74, ,EG,Egypt,Ihnasya al Madinah,62631,"Ra's Ghareb, Al Sheikh Fadl Road",28.279317,31.911039,Beni Suef Governorate
24,at apt # 575. kitchen; re-install (2) window guards with stops. bedroom; install (2) window stops.,36.31,3.22,9.08,48.61, ,EG,Egypt,Ihnasya al Madinah,62631,Teraa Sharhy Street,29.094221,30.950511,Beni Suef Governorate
64,local law #1 violation : as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,1501.74,125.77,225.26,1852.77,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Ihnasya al Madinah,62631,Teraa Al Bohiah Al Bahareya Street,30.889508,31.485192,Beni Suef Governorate
25,p/h 1 1/2 story: install 1 window guard and stops.,48.42,4.18,15,67.6,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Nazlet Abu Silim,62515,Al Mansoura Street,31.214788,31.64524,Beni Suef Governorate
1,p/h 5th story : install stops with one way screws .,195.3,16.84,29.3,241.44,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Ras Gharib,84715,Al Bahr Al Gadid Street,31.215,31.345082,Beni Suef Governorate
10,in the public hall install three balusters between second and third story stair,105.67,9.11,15.85,130.63, ,EG,Egypt,Sharahi,62631,Al Teraa Street,31.214993,31.349954,Beni Suef Governorate
1,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,811.68,72.04,324.67,1208.39,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Al Hasayina,35651,Awlad Omar Street,31.215021,31.354981,Dakahlia Governorate
66,apartment #d6: kitchen:  re-install (1) window guard and stops. livingroom :  install (1) window guard and stops bathroom :  install (1) win,24.21,2.09,15,41.3, ,EG,Egypt,Az Zarqa,34724,Street 60,31.21504,31.360024,Dakahlia Governorate
44,local law #1 violation : as per rc # . and attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½2,380.9,32.85,57.14,470.89, ,EG,Egypt,Bilqas,35631,Street 7,31.215001,31.370001,Dakahlia Governorate
1,"at public hall: remove 18 section radiator from westside of 1st floor, from under the stairs. carry-out to curb. remove all work related debris.",48.42,4.18,15,67.6,"Standard cleaning, Deep cleaning, Move out cleaning",EG,Egypt,Bilqas,35631,Al Zouhera Street,30.890266,31.450045,Dakahlia Governorate
20,local law #1 violation : as per attached scope of work thoroughily remove all lead violations as per new york city administrative code ï¿½27-2056.11,0,0,0,0, ,EG,Egypt,Bilqas,35631,Abd Al Moneim Riyad Street,30.889441,31.469853,Dakahlia Governorate
34,"as per the requirement contract with hpd, provide and install 2 window guards and repair 3 window guards throughout entire apartment 2j. remove all w",184.11,16.34,92.06,292.51, ,EG,Egypt,Bilqas,35631,Street 3,30.889989,31.465007,Dakahlia Governorate
48,apartment #2r: bathroom: install 1 window guard complete. kitchen: install one way screws and stops. livingroom: install one way screws and stop,194.24,16.75,29.14,240.13, ,EG,Egypt,Bilqas,35631,"Damietta, Sahrbin Road",31.215069,31.569939,Dakahlia Governorate
66,as per requirement of h.p.d. window guard program and in accordance with the new york city health code section 24 rcny chapter 12. at entire apt#3l,0,0,0,0,"Laminate, Vinyl sheet, Luxury vinyl flooring, Tile",EG,Egypt,El Senbellawein City,35651,Kafr Al Myasarh Road,31.214701,31.635828,Dakahlia Governorate
26,seal all accessible openings leading into illegal basement apartment.,320.73,26.86,48.11,395.7, ,EG,Egypt,Izbat Abu Laban,35651,"Aga, Al Senbilawin Road",30.889865,31.43995,Dakahlia Governorate
23,apt # 25: . supply and install one (01) window guard in the bathroom and repair one (01) window guard in the kitchen. ''remove all work related debr,123.66,10.97,49.46,184.09, ,EG,Egypt,Izbat Abu Laban,35651,Al Shahid Rashad Abou Taha Street,31.320666,31.79193,Dakahlia Governorate
25,"apt #1 =f/e adjust the drop ladder so as to slide easily in the guide rods at front of building at the time of this invitation to bid, it is not an",121.95,10.82,30.49,163.26, ,EG,Egypt,Izbat Hasan Kasibah,35661,Moustawdaa Asal Street,31.314831,31.764802,Dakahlia Governorate
66,apt a4) at bedroom and kitchen: install (1 each room0 stop and one way screws. ''remove all work related debris''.,89.85,7.75,15,112.6,"Washer or dryer, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Mit al Khawli Abd Allah,34724,"Al Gamalia, Damietta Road",31.316218,31.808365,Dakahlia Governorate
44,local law #1 violation : as per attached scope of work thoroughily remove all lead violations as per new york city administrative code ï¿½27-2056.11,0,0,0,0,"No, my home is vacant, Yes, my home is furnished",EG,Egypt,Noub,35651,Al Cornish Street,31.315665,31.699414,Dakahlia Governorate
51,"remove disconnected radiator at public hall, 3rd story remove all work related debris",48.42,4.3,7.26,59.98, ,EG,Egypt,Al Atawi,34612,"Damietta, Al Mansoura Agricultural Road",31.314956,31.710094,Damietta Governorate
49,apt #5e) at public hall stair : install (1) window stop. ''remove all work related debris''.,49.73,4.16,7.46,61.35, ,EG,Egypt,Al Roda,34612,Street 4,31.315289,31.715066,Damietta Governorate
86,pulic area - first floor: install two window guards complete,41.17,3.65,6.18,51,"Cabinets, shelves, or bookcases, Outdoor animal enclosure, Walls, Door, Deck, porch, or balcony, Furniture, Baseboards and/or crown molding, Stairs, Windows, Garage, carport, or shed, Soffit or fascia, Gazebo or pergola",EG,Egypt,Damietta,34612,Al Madares Street,31.314977,31.674895,Damietta Governorate
27,provide / install two ( 2) radiators shutoff valves and two air valves one ( 1) in bedrm (east 1 ) and one ( 1) in bedrm east 6) ''remove all wor,78.76,6.99,19.69,105.44, ,EG,Egypt,Kafr al Arab,34611,Al Markz Street,29.373828,30.691163,Damietta Governorate
33,apt a4) at bathroom : install (1) window guard. ''remove all work related debris''.,56.47,4.73,8.47,69.67,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Kafr al Arab,34611,"Cairo, Al Fayoum Desert Road",29.374748,30.867125,Damietta Governorate
22,provide access to vacant building so as to perform asbestos investigation. re-seal all accessible openings. remove all work related debris.,147.28,12.33,22.09,181.7, ,EG,Egypt,Kafr al Arab,34611,Asad Allah Street,30.299746,31.755107,Damietta Governorate
25,erp unit installed padlock on the entrance door to apartment 1b,136.73,12.13,54.69,203.55,"Repairs, Installation, Maintenance, Assembly",EG,Egypt,Kafr al Arab,34716,Belbes - 10th of Ramadan Road,30.297967,31.677971,Damietta Governorate
40,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,136.14,12.08,34.04,182.26, ,EG,Egypt,Abu Ksah,63611,Mohamed Hafez Street,30.299745,31.744319,Faiyum Governorate
67,at apt 4c : install / repair window guard(s) throughout apt.,29.05,2.58,14.53,46.16,"Patio or porch, Driveway, Foundation, Sidewalk, Floor, Wall, Stairs",EG,Egypt,Ezbet Muhammad Gad,63748,Omar Ibn Abd Al Aziz Street,30.299877,31.740031,Faiyum Governorate
42,"apt #4e. livingroom, reinstall (1) window guard properly. bedroom, reinstall (1) window guard properly. kitchen, reinstall (1) window guard properl",0,0,0,0, ,EG,Egypt,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.300369,31.729908,Al Sharqia Governorate
35,l/l-1 ( clean only ) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuan,0,0,0,0, ,EG,Egypt,10th of Ramadan City,44629,Othman Ibn Affan Street,30.29766,31.697372,Al Sharqia Governorate
2,at apt.3: install window guards with stops in bedroom and livingroom.,0,0,0,0,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,10th of Ramadan City,44629,Masr Al Nour Road,30.297831,31.685978,Al Sharqia Governorate
6,nyc hpd emergency operations division  essential service work apartment 1a ( water heater located at bathroom): make all necessary repairs to,0,0,0,0,"Apply texture finish, Painting, Waterproofing, Soundproofing, Wallpaper",EG,Egypt,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.299382,31.725197,Al Sharqia Governorate
46,local law #1 violation: as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,0,0,0,0,Specialties,EG,Egypt,10th of Ramadan City,44629,Teraa Al Saeidia,30.649906,31.754377,Al Sharqia Governorate
61,"3rd. fl public hall remove refrigerator from 3rd. floor public hall at the time of this invitation to bid, it is not anticipated",146.16,12.97,36.54,195.67,"Cabinets, shelves, or bookcases, Outdoor animal enclosure, Walls, Door",EG,Egypt,10th of Ramadan City,44629,"Banayous, Al Zagazig Road",30.649948,31.479953,Al Sharqia Governorate
45,(apt. 1f)install peephole at apartment entrance door.,15.98,1.34,2.4,19.72,,EG,Egypt,10th of Ramadan City,44629,"Cairo, Ismailia Desert Road",30.297127,31.801965,Al Sharqia Governorate
62,public area : at 2nd and 3rd floors install (1 each floors) window stops only. ''remove all work related debris''.,185.97,16.04,27.9,229.91,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,10th of Ramadan City,44634,"Cairo, Al Ismaeileya Agricultural Road",30.509987,31.714681,Al Sharqia Governorate
7501,public hall 1st story through 5th story remove all window guards and replace with new to code.,0,0,0,0,PLUMB,EG,Egypt,10th of Ramadan City,44634,Al Sheikh Abou Hammad Street,30.509689,31.660398,Al Sharqia Governorate
34,"apt #16) at entire apartment : install (3) window guards complete, and repair (3) window guards with stops and screws.total= install 3 and repair 3.''r",12.1,1.01,1.82,14.93,,EG,Egypt,Al Helsamiya,44669,"Cairo, Belbes Desert Road",30.30214,31.487925,Al Sharqia Governorate
14,"public area) at 1st to 2nd floor, intermediate landing and at north bulkhead, 5th floor to roof install stops and 1-ways screws. remove all work rel",172.47,14.88,25.87,213.22,,EG,Egypt,Bahnabai,44819,Wabour Al Nour Street,30.511435,31.335199,Al Sharqia Governorate
58,apt 2f: provide and install / repair window guards throughout entire apartment.,0,0,0,0,PLUMB,EG,Egypt,Cairo,44629,Al Markz Street,30.891351,31.653937,Al Sharqia Governorate
35,public parts @ inner court fire passageway. remove the illegal fastening key operated lock,24.21,2.15,9.68,36.04,,EG,Egypt,Ezab Arab al Tahawiya,44888,Regional Ring Road,30.64968,31.456509,Al Sharqia Governorate
24,as per hpd's attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 and as noted in the s,0,0,0,0,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Izbat al Hakim,44661,Al Masna' Street,30.509931,31.340162,Al Sharqia Governorate
1,apt 2r: provide and install (2) window guards and repair (1) throughout entire apartment. rc # kc00197,12.1,1.07,4.84,18.01,"Cabinets, shelves, or bookcases, Outdoor animal enclosure, Walls, Door, Deck, porch, or balcony, Furniture, Baseboards and/or crown molding, Stairs, Windows, Garage, carport, or shed, Soffit or fascia, Gazebo or pergola",EG,Egypt,Izbat Suwaylim,44621,Al Mokhtar Street,30.510073,31.345017,Al Sharqia Governorate
16,provide access for asbestos investigation and re-seal.,52.29,4.64,20.92,77.85,,EG,Egypt,Kafr Farag Girgis,44692,Al Rashah Street,30.509987,31.350015,Al Sharqia Governorate
1,apt 3d: provide and install / repair window guards throughout apartment.,71.96,6.39,35.98,114.33,,EG,Egypt,Kafr Saqr,44689,Al Zagazig Al Gadida Street,30.510158,31.355128,Al Sharqia Governorate
68,"apt d9 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> replace with new the defective wash hand basin faucet complete. at the time of this invitation to bid,",117.58,10.44,47.03,175.05,"Wood, Chain link, Vinyl, Barbed Wire",EG,Egypt,Minshat Safwat,44769,Abou Qir Street,31.314857,30.060508,Al Sharqia Governorate
4,apt #3r) at living room and bedroom#2 : install (1 each rooms) window stops and one ways screws.''remove all work related debris''.,103.69,8.68,15.55,127.92,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Minya Al-Qamh,44692,Al Moustafa Street,31.315124,30.065067,Al Sharqia Governorate
24,(public area) at 4th story public hall: remove gas range and construction material from scuttle ladder closet. remove all work related debris.,121.05,10.14,18.16,149.35,,EG,Egypt,Minya Al-Qamh,44692,Masnaa Al Intag Al Harby Street,31.317624,30.054721,Al Sharqia Governorate
9,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,0,0,0,0,,EG,Egypt,Minya Al-Qamh,44692,Shokry Al Qawatli Street,31.313643,30.067883,Al Sharqia Governorate
48,"at apt 19 make all neccessary repairs to bleed all radiators in apt (living rm, bedroom 1&2). replace all 3 radiatior vavles. ensure constant flow",0,0,0,0,,EG,Egypt,Mit Yazid,44692,Al Geish Road,31.212476,29.917033,Al Sharqia Governorate
24,l/l-1 (clean only) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuant,136.26,12.09,34.07,182.42,,EG,Egypt,Abu Qir,21913,Al Mouhandes Hussein Ramadan Street,31.215042,29.925053,Alexandria Governorate
6,at 5th sty apt e-2: install (1 ) window guard stop at bathroom,25.27,2.24,6.32,33.83,,EG,Egypt,Abu Qir,21913,Street 50,31.215003,29.940159,Alexandria Governorate
58,doh clean and dust-wipe only: 1st fl public foyer from ext stairs- floor 1st floor public hallway from 1st fl public foyer stairs- floor stairs f,358.96,31.86,179.48,570.3,"Lay grass or sod, Lay artificial turf, Plant trees or shrubs",EG,Egypt,Abu Qir,21913,Al Geish Road,31.21012,29.910343,Alexandria Governorate
3,re-installm (6) w/g on all floors p/h.,96.84,8.35,15,120.19,,EG,Egypt,Abu Qir,21913,Gamal Abd Al Naser Street,31.214063,29.935894,Alexandria Governorate
35,local law # 1 violation: as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 and,287.66,24.09,43.15,354.9,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,Alexandria,21524,Ibn Al Barizy Street,31.214857,29.929045,Alexandria Governorate
16,"at apt. 2d, entrance door to apt. properly replace with new the mortise lock set at entrnace door to apt. leave in proper working order. at the t",141.12,12.52,70.56,224.2,,EG,Egypt,Alexandria,21524,Al Hekma Street,31.214906,29.96996,Alexandria Governorate
37,public hall 3.rd fl. remove free standing radiator from public,96.84,8.59,38.74,144.17,"Repairs, Installation, Assembly, Painting",EG,Egypt,Alexandria,21554,Kolleyet Al Zeraah Street,31.214715,29.979897,Alexandria Governorate
40,apartment #1 remove all obstruction from w.c. and ensure it flushes properly in bathroom.,427.8,36.9,64.17,528.87,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Alexandria,21556,Street 2,31.215041,29.994921,Alexandria Governorate
35,(public area) install (1) one way screws at 1st to 2nd floor public hall window. remove all work related debris.,32.44,2.72,4.87,40.03,"Installation, Maintenance, Assembly, Painting",EG,Egypt,Alexandria,21561,14th May Street,31.213463,29.949547,Alexandria Governorate
80,(local law# 1 violation - clean only). thoroughly re-clean the following areas as per new york city administrative code ï¿½27-2506.11 and as noted in,134.29,11.58,20.14,166.01,"Laminate, Linoleum, Vinyl sheet, Luxury vinyl flooring, Engineered hardwood, Solid wood, Tile, Concrete, Carpet",EG,Egypt,Alexandria,21561,Street 38,31.217268,29.955452,Alexandria Governorate
9,"apt #22: bathrm: restore water to water closet,",36.31,3.22,14.52,54.05,"Washer or dryer, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Alexandria,21918,"Matar Borg Al Arab, Al Mintaqa Al Senaaya Road",30.893835,29.694129,Alexandria Governorate
